"2020-07-21 14:54:28 [restartedMain] INFO  n.g.s.r.RegistrationLoginSpringbootSecurityThymeleafApplication -Starting RegistrationLoginSpringbootSecurityThymeleafApplication on DESKTOP-SVT70B2 with PID 6584 (started by Home in C:\Users\Home\Desktop\стажировка\registration-login-springboot-security-thymeleaf)
""2020-07-21 14:54:32 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@690148c9, org.springframework.security.web.context.SecurityContextPersistenceFilter@48edcd3a, org.springframework.security.web.header.HeaderWriterFilter@59df96c, org.springframework.security.web.csrf.CsrfFilter@51f78ecd, org.springframework.security.web.authentication.logout.LogoutFilter@1af1a35c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2ffbf40b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@53ad70b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@676ceb13, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3b77d3ed, org.springframework.security.web.session.SessionManagementFilter@13f6f2c, org.springframework.security.web.access.ExceptionTranslationFilter@34570d7f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2383b7bd]
""2020-07-21 14:54:32 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2020-07-21 14:54:32 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
""2020-07-21 14:54:32 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter -Registering beans for JMX exposure on startup
""2020-07-21 14:54:32 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter -Bean with name 'dataSource' has been autodetected for JMX exposure
""2020-07-21 14:54:32 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter -Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
""2020-07-21 14:54:32 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port(s): 8080 (http) with context path ''
""2020-07-21 14:54:32 [restartedMain] INFO  n.g.s.r.RegistrationLoginSpringbootSecurityThymeleafApplication -Started RegistrationLoginSpringbootSecurityThymeleafApplication in 4.847 seconds (JVM running for 5.962)
""2020-07-21 14:54:32 [restartedMain] INFO  n.g.s.r.RegistrationLoginSpringbootSecurityThymeleafApplication -Program started
""2020-07-21 14:55:17 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring FrameworkServlet 'dispatcherServlet'
""2020-07-21 14:55:34 [http-nio-8080-exec-1] INFO  o.h.h.i.QueryTranslatorFactoryInitiator -HHH000397: Using ASTQueryTranslatorFactory
""2020-07-21 15:01:46 [restartedMain] INFO  n.g.s.r.RegistrationLoginSpringbootSecurityThymeleafApplication -Starting RegistrationLoginSpringbootSecurityThymeleafApplication on DESKTOP-SVT70B2 with PID 12964 (started by Home in C:\Users\Home\Desktop\стажировка\registration-login-springboot-security-thymeleaf)
""2020-07-21 15:01:46 [restartedMain] DEBUG n.g.s.r.RegistrationLoginSpringbootSecurityThymeleafApplication -Running with Spring Boot v2.0.4.RELEASE, Spring v5.0.8.RELEASE
""2020-07-21 15:01:46 [restartedMain] INFO  n.g.s.r.RegistrationLoginSpringbootSecurityThymeleafApplication -No active profile set, falling back to default profiles: default
""2020-07-21 15:01:46 [restartedMain] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext -Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5757cf97: startup date [Tue Jul 21 15:01:46 ALMT 2020]; root of context hierarchy
""2020-07-21 15:01:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$276516a8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-07-21 15:01:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$c012dee2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-07-21 15:01:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-07-21 15:01:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@3a221127' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-07-21 15:01:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$e4e78194] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-07-21 15:01:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-07-21 15:01:48 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port(s): 8080 (http)
""2020-07-21 15:01:49 [restartedMain] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
""2020-07-21 15:01:49 [restartedMain] INFO  o.a.catalina.core.StandardEngine -Starting Servlet Engine: Apache Tomcat/8.5.32
""2020-07-21 15:01:49 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener -The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_202\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files (x86)\QuickTime\QTSystem\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\Git\cmd;C:\Program Files\MySQL\MySQL Shell 8.0\bin\;C:\Users\Home\Documents\mingw64tdm\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2020.1.2\bin;;C:\Users\Home\AppData\Local\Microsoft\WindowsApps;C:\Users\Home\IntelliJ IDEA Community Edition 2019.3.4\bin;;C:\Users\Home\IntelliJ IDEA Educational Edition 2020.1.2\bin;;C:\Program Files\Java\jdk1.8.0_202 \bin;;.]
""2020-07-21 15:01:49 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
""2020-07-21 15:01:49 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'characterEncodingFilter' to: [/*]
""2020-07-21 15:01:49 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2020-07-21 15:01:49 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2020-07-21 15:01:49 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'requestContextFilter' to: [/*]
""2020-07-21 15:01:49 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean -Mapping filter: 'springSecurityFilterChain' to: [/*]
""2020-07-21 15:01:49 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean -Servlet dispatcherServlet mapped to [/]
""2020-07-21 15:01:49 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Starting...
""2020-07-21 15:01:49 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Start completed.
""2020-07-21 15:01:49 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Building JPA container EntityManagerFactory for persistence unit 'default'
""2020-07-21 15:01:49 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2020-07-21 15:01:49 [restartedMain] INFO  org.hibernate.Version -HHH000412: Hibernate Core {5.2.17.Final}
""2020-07-21 15:01:49 [restartedMain] INFO  org.hibernate.cfg.Environment -HHH000206: hibernate.properties not found
""2020-07-21 15:01:50 [restartedMain] INFO  o.h.annotations.common.Version -HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
""2020-07-21 15:01:50 [restartedMain] INFO  org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
""2020-07-21 15:01:50 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
""2020-07-21 15:01:51 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3e7814c6, org.springframework.security.web.context.SecurityContextPersistenceFilter@5ee06122, org.springframework.security.web.header.HeaderWriterFilter@44f03240, org.springframework.security.web.csrf.CsrfFilter@1d28a488, org.springframework.security.web.authentication.logout.LogoutFilter@7a345ac0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7b47a090, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5f1ffdf0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@752d675f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@410cd9e5, org.springframework.security.web.session.SessionManagementFilter@cd86416, org.springframework.security.web.access.ExceptionTranslationFilter@24fb0050, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@56b8d6a7]
""2020-07-21 15:01:51 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2020-07-21 15:01:51 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
""2020-07-21 15:01:51 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter -Registering beans for JMX exposure on startup
""2020-07-21 15:01:51 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter -Bean with name 'dataSource' has been autodetected for JMX exposure
""2020-07-21 15:01:51 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter -Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
""2020-07-21 15:01:51 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port(s): 8080 (http) with context path ''
""2020-07-21 15:01:51 [restartedMain] INFO  n.g.s.r.RegistrationLoginSpringbootSecurityThymeleafApplication -Started RegistrationLoginSpringbootSecurityThymeleafApplication in 5.649 seconds (JVM running for 6.979)
""2020-07-21 15:01:51 [restartedMain] INFO  n.g.s.r.RegistrationLoginSpringbootSecurityThymeleafApplication -Program started
""2020-07-21 15:02:01 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring FrameworkServlet 'dispatcherServlet'
""2020-07-21 15:02:09 [http-nio-8080-exec-1] INFO  o.h.h.i.QueryTranslatorFactoryInitiator -HHH000397: Using ASTQueryTranslatorFactory
""2020-07-21 15:02:09 [http-nio-8080-exec-1] ERROR n.g.s.r.service.UserServiceImpl -Invalid username user or password!
""2020-07-21 15:02:33 [http-nio-8080-exec-8] WARN  n.g.s.r.web.MainController -This URL '/order' is for only users
""2020-07-21 15:02:35 [http-nio-8080-exec-6] WARN  n.g.s.r.web.MainController -This URL '/order' is for only users
""2020-07-21 15:02:49 [http-nio-8080-exec-7] WARN  n.g.s.r.web.MainController -This URL '/order' is for only users
""2020-07-21 15:02:59 [http-nio-8080-exec-3] WARN  n.g.s.r.web.MainController -This URL '/order' is for only users
""2020-07-21 15:03:10 [http-nio-8080-exec-6] WARN  n.g.s.r.web.MainController -This URL '/order' is for only users
""2020-07-21 15:03:18 [http-nio-8080-exec-7] WARN  n.g.s.r.web.MainController -This URL '/order' is for only users
"
